label;fname;Chorus+TubeAmp-Clean;Delay+TubeAmp-HiGain;Flanger+TubeAmp-Crunch;Fuzz+TubeAmp-Clean;Reverb+TubeAmp-Clean;Reverb+TubeAmp-HiGain;Rotator+TubeAmp-Clean;Tremolo+TubeAmp-Clean;TubeAmp-Clean;TubeAmp-Crunch;TubeAmp-HiGain;TubeAmp-Metal;Output_prediction
Chorus+TubeAmp-Clean;Chorus+TubeAmp-Clean.wav;0.9992395639419556;1.000390881245039e-08;1.8596708173390653e-08;3.19226156619834e-09;1.2433446499926504e-05;1.399814575364644e-08;1.561404496897012e-05;0.0006580333574675024;7.415446452796459e-05;2.7899965004962723e-08;2.3091592993296217e-07;4.115769058898877e-07;Chorus+TubeAmp-Clean
Delay+TubeAmp-HiGain;Delay+TubeAmp-HiGain.wav;6.445565759349847e-06;0.8198354840278625;4.0697559597902e-06;0.00015534560952801257;2.4921955628087744e-05;0.11817885935306549;1.0514710083953105e-05;1.4077175364946015e-05;5.3390467655844986e-05;2.8701666451524943e-05;0.06168400123715401;4.477330094232457e-06;Delay+TubeAmp-HiGain
Flanger+TubeAmp-Crunch;Flanger+TubeAmp-Crunch.wav;3.41919736968066e-08;6.59391687918287e-08;0.9999850988388062;6.661204565716616e-07;6.510152417149584e-08;1.7643496903474443e-06;1.1527085064244602e-08;5.292650939736632e-07;3.0227707270569226e-07;1.0695057426346466e-05;3.693772612223256e-07;5.963562443866977e-07;Flanger+TubeAmp-Crunch
Fuzz+TubeAmp-Clean;Fuzz+TubeAmp-Clean.wav;1.6371600963793753e-07;0.00019372372480574995;5.309723860591475e-07;0.9994900822639465;8.582513828514493e-07;9.846397006185725e-05;3.546030029610847e-07;3.542548938639811e-07;2.5831841412582435e-06;1.6757705907366471e-06;0.00020817090990021825;3.384707497389172e-06;Fuzz+TubeAmp-Clean
Reverb+TubeAmp-Clean;Reverb+TubeAmp-Clean.wav;2.9184098821133375e-05;9.667402991908602e-06;1.0075926581976091e-07;1.2440552836778807e-06;0.9673768877983093;1.1717795132426545e-05;1.4481093785434496e-05;1.450420131732244e-05;0.0325390063226223;1.3469654049913515e-06;2.335814997422858e-06;1.7013650221997523e-07;Reverb+TubeAmp-Clean
Reverb+TubeAmp-HiGain;Reverb+TubeAmp-HiGain.wav;5.431420049717417e-06;0.1501520574092865;3.5959837987320498e-06;9.268371650250629e-05;4.0753431676421314e-05;0.7032269239425659;8.971963325166143e-06;1.0831017789314501e-05;7.133519829949364e-05;2.2245008949539624e-05;0.14635984599590302;5.6475410019629635e-06;Reverb+TubeAmp-HiGain
Rotator+TubeAmp-Clean;Rotator+TubeAmp-Clean.wav;7.321427983697504e-05;7.344079335780407e-07;3.235260592759914e-08;2.4174775958840655e-08;1.4602301234845072e-05;6.311529432423413e-08;0.9968449473381042;0.00032284363987855613;0.002743704244494438;1.9195013578610087e-08;1.4398162306861195e-07;6.753666959014026e-09;Rotator+TubeAmp-Clean
Tremolo+TubeAmp-Clean;Tremolo+TubeAmp-Clean.wav;3.1966162623575656e-06;3.12630675125547e-07;3.4166239970545575e-07;4.407607079315312e-08;1.5656476080039283e-06;5.154057589606964e-07;4.5147920957333554e-08;0.9999890923500061;3.71853479919082e-06;1.0287902796335402e-06;1.3898778661314282e-07;3.409263626963366e-07;Tremolo+TubeAmp-Clean
TubeAmp-Clean;TubeAmp-Clean.wav;0.00022984937822911888;6.2071239881333895e-06;2.025874437094899e-06;2.0234408282249206e-07;0.026246175169944763;4.492028438107809e-06;0.0026505556888878345;0.0003151842101942748;0.9705364108085632;1.1448499890320818e-06;9.53516337176552e-06;1.8146948832509224e-07;TubeAmp-Clean
TubeAmp-Crunch;TubeAmp-Crunch.wav;1.652407445362769e-05;3.143996536891791e-06;4.313829322200036e-06;2.6859243007493205e-05;6.889663382025901e-07;1.6657075320836157e-05;5.608049491456768e-07;3.884930265485309e-06;2.6197481929557398e-05;0.9989710450172424;1.5698793504270725e-05;0.0009154251893050969;TubeAmp-Crunch
TubeAmp-HiGain;TubeAmp-HiGain.wav;5.123562459630193e-06;0.0954483225941658;4.102193543076282e-06;0.0001941150112543255;1.3057156138529535e-05;0.19815348088741302;1.3071202374703716e-05;1.1561396604520269e-05;7.523920794483274e-05;2.428765219519846e-05;0.7060533165931702;5.053382210462587e-06;TubeAmp-HiGain
TubeAmp-Metal;TubeAmp-Metal.wav;2.0807013356716197e-07;1.3765560424872092e-07;1.7469079693910317e-07;6.263274343609737e-08;7.926860234874766e-08;3.184732690897363e-07;4.595409386354277e-09;3.068845444431645e-07;9.551437329946566e-08;9.44998100749217e-06;1.0167378405867566e-07;0.9999891519546509;TubeAmp-Metal
